uuid,source,orig_id,lat,lon,hour,heading,place,sidewalk_pct
d4a3f784-7b68-4a18-af4b-f293444c6e8c,Mapillary,497465581453925,1.2999444398833615,103.80061447620392,14,134.9926288261,parking_lot,0.009461184788304145
c0d12fad-9d9f-453c-b804-1dd1f1113302,Mapillary,3300409603395674,1.2971073915078222,103.7998902797699,14,294.72473437792,parking_garage,0.04097407180607098
282017c7-476a-41db-8df3-800b7487ea32,Mapillary,668901077414140,1.3039023583767886,103.80164444446564,14,186.3967438046737,park,0.014252207912450356
2b6f5142-e669-4aba-84f5-c04b4eac11b0,Mapillary,762511154440832,1.301547987555523,103.80103826522829,15,277.77102811029,park,0.007851041564640929
8781dd82-98b2-4cb9-9bdb-c1b3744eaa09,Mapillary,480905486558942,1.2990059081645595,103.80277633666992,14,129.1097256839,manufactured_home,0.00805366154936405
d3ebafab-20b9-4bad-86d0-97eb808f15ed,Mapillary,579803472936065,1.300175050480874,103.80078077316284,7,264.8585,bus_station,0.00205635096085217
7f2b5e7c-51f3-4d0e-a02a-0591d26c089e,Mapillary,462818408617130,1.2984159737628715,103.80295872688292,18,131.15288840286416,parking_garage,0.016727749811046303
cf504619-67dd-4bd9-95c5-e3559e8762d6,Mapillary,1102023280289819,1.3020735648316304,103.80112946033478,15,281.50758433626,campus,0.03782680448189004
49d87853-5f2e-4868-a1c3-b262c8fe1190,Mapillary,468437154539381,1.3042884964335144,103.80167663097382,14,181.2795206162608,hunting_lodge,0.011405187912879047
8ae678f7-e173-4e99-aec9-5655b9ab00ed,Mapillary,1348234875551174,1.3014997202491685,103.80133330821992,7,195.2708,highway,0.004370709648545274
2af5faf7-921b-4a52-994d-256520a5ccdb,Mapillary,476715986934145,1.300754258400346,103.80061984062196,15,348.28614877735,lawn,0.03082469026439794
